"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"Nep3-PA" 33.1814812609898 2.81785479398232 0.939539518244687 2.9991870903385 0.00270701024038682 0.0361987899337531
"Nep3-PB" 33.1814812609898 2.81785479398232 0.939539518244687 2.9991870903385 0.00270701024038682 0.0361987899337531
"Nep3-PC" 33.1814812609898 2.81785479398232 0.939539518244687 2.9991870903385 0.00270701024038682 0.0361987899337531
"CG9570-PA" 0 NA NA NA NA NA
"Or19b-PA" 0.225387084247713 1.44010786517425 4.99001825986538 0.288597714512792 0.77288924467403 NA
"CG15322-PB" 0 NA NA NA NA NA
"CG15322-PC" 0 NA NA NA NA NA
"Or19a-PB" 0.225387084247713 1.44010786517425 4.99001825986538 0.288597714512792 0.77288924467403 NA
"karr-PA" 0.553963940068453 2.61833803118128 4.88311271489194 0.536202660896232 0.59181849471394 NA
"fd19B-PA" 0 NA NA NA NA NA
"CG17003-PA" 0 NA NA NA NA NA
"CG12655-PA" 7.31512552254913 3.7904588769 2.79356260474534 1.35685481702155 0.174827345776124 NA
"CG33217-PA" 712.274573266818 -0.900905228665513 0.23094615718048 -3.90093188674048 9.58231112832773e-05 0.00281958464664489
"Vps11-PA" 485.879279545677 -0.464800554270201 0.241259819215318 -1.92655600829817 0.0540349855340383 0.283658580407169
"RpL10-PC" 1086.75253714999 -0.629769874331998 0.245209061874418 -2.56829771917047 0.0102199339499921 0.0951093304369187
"RpL10-PD" 1086.75253714999 -0.629769874331998 0.245209061874418 -2.56829771917047 0.0102199339499921 0.0951093304369187
"RpL10-PE" 1086.75253714999 -0.629769874331998 0.245209061874418 -2.56829771917047 0.0102199339499921 0.0951093304369187
"G9a-PA" 615.533637158987 -0.951139008706053 0.233400775212956 -4.07513217485345 4.59882190495523e-05 0.00159138008613104
"G9a-PB" 59.8348160875386 -9.34651290860899 1.91125538479952 -4.89024804478937 1.00708990378547e-06 6.96988424840263e-05
"cin-PB" 324.29472449195 -0.831271353615502 0.37846082265764 -2.19645285284253 0.0280595462284925 0.187552380803274
"cin-PA" 324.29472449195 -0.831271353615502 0.37846082265764 -2.19645285284253 0.0280595462284925 0.187552380803274
"CG3777-PB" 7.08574125231412 -0.286724218471554 1.47366280792933 -0.194565688248885 0.845732966471696 NA
"CG3777-PA" 7.08574125231412 -0.286724218471554 1.47366280792933 -0.194565688248885 0.845732966471696 NA
"CG3777-PC" 7.08574125231412 -0.286724218471554 1.47366280792933 -0.194565688248885 0.845732966471696 NA
"CG3777-PD" 7.08574125231412 -0.286724218471554 1.47366280792933 -0.194565688248885 0.845732966471696 NA
"CG3777-PE" 7.08574125231412 -0.286724218471554 1.47366280792933 -0.194565688248885 0.845732966471696 NA
"CG12470-PA" 0.553963940068453 2.61833803118128 4.88311271489194 0.536202660896232 0.59181849471394 NA
"Or1a-PA" 7.80101618199316 -0.178569216940695 1.56543891789125 -0.114069744210294 0.909182506263105 NA
"y-PA" 12.1277328453065 0.330645049417032 1.23892676126257 0.266880222265985 0.789561384863819 0.967930107289812
"ac-PA" 1.90309155834214 -0.84077191923496 3.495411391351 -0.240535898382478 0.809914837105448 NA
"sc-PA" 3.95793262496324 -2.65429440477722 2.73336292095491 -0.971072807210661 0.33151202392243 NA
"l(1)sc-PA" 3.11920561633544 1.1161083742486 3.09730045112578 0.360348759140537 0.718586340458628 NA
"ase-PA" 3.18926129042691 -1.12442897657145 2.01014692875055 -0.559376511482351 0.575904788188906 NA
"CG13373-PA" 0 NA NA NA NA NA
"CG13373-PB" 97.5773236664173 -1.13291195198381 0.481534599547537 -2.35271142104498 0.0186370915767648 0.144843476713357
"CG32817-PA" 4.71857088158697 1.97382521989758 2.80986031317658 0.702463823785654 0.482389954762449 NA
"CG32817-PC" 4.71857088158697 1.97382521989758 2.80986031317658 0.702463823785654 0.482389954762449 NA
"CG32817-PB" 4.71857088158697 1.97382521989758 2.80986031317658 0.702463823785654 0.482389954762449 NA
"CG3176-PA" 4.26485380526645 -2.06807215293396 2.890164573809 -0.7155551526979 0.47426607401264 NA
"CG3176-PB" 0.276981970034226 1.59049268177492 4.98023296566406 0.319361100723699 0.749452704691037 NA
"CG3176-PC" 0.276981970034226 1.59049268177492 4.98023296566406 0.319361100723699 0.749452704691037 NA
"CG3176-PD" 4.26485380526645 -2.06807215293396 2.890164573809 -0.7155551526979 0.47426607401264 NA
"CG3156-PA" 113.431187575159 -1.03995585017368 0.469727511194511 -2.21395559210293 0.0268318339265999 0.182348928280332
"CG17778-PA" 1.87119109087039 1.50124786693569 3.69222062309584 0.406597552038191 0.684303595475801 NA
"CG17778-PB" 1.87119109087039 1.50124786693569 3.69222062309584 0.406597552038191 0.684303595475801 NA
"arg-PA" 23.0183102067753 0.90786902350173 0.984291629139043 0.922357761282437 0.356341994253821 0.754759776223733
"CG17896-PB" 981.392811905796 0.245354307585519 0.386284389475043 0.635164956883072 0.52532083573645 0.873572652100431
"CG17896-PA" 0.987532086533 -3.42427027623083 4.83802480002748 -0.707782704258023 0.47908020862895 NA
"CG18273-PA" 782.34329947674 -0.692089697311675 0.270185164513879 -2.56153848623367 0.0104209694525773 0.0964508504573692
"Cyp4g1-PA" 7420.51602287869 1.49614491166431 0.21197988918419 7.05795685346505 1.68968502121247e-12 8.95321850614957e-10
"Pgcl-PA" 13.8963288005614 1.51897781559226 2.42032418351836 0.627592710900472 0.530270784933591 0.877197212617949
"CG32816-PB" 4.72534919322551 -0.0971889257587768 1.73700272865061 -0.0559520858290639 0.955379977293597 NA
"CG32816-PA" 4.72534919322551 -0.0971889257587768 1.73700272865061 -0.0559520858290639 0.955379977293597 NA
"CG32816-PC" 5.27616256265176 -3.37737924482614 2.56579051665005 -1.31631137573761 0.188069554265549 NA
"CG32816-PD" 5.27616256265176 -3.37737924482614 2.56579051665005 -1.31631137573761 0.188069554265549 NA
"CG32816-PE" 4.72534919322551 -0.0971889257587768 1.73700272865061 -0.0559520858290639 0.955379977293597 NA
"CG32816-PF" 4.72534919322551 -0.0971889257587768 1.73700272865061 -0.0559520858290639 0.955379977293597 NA
"CG13375-PA" 6.00375896304941 -2.4750728642305 2.4627461921531 -1.00500525475044 0.314894319590647 NA
"CG13375-PB" 6.00375896304941 -2.4750728642305 2.4627461921531 -1.00500525475044 0.314894319590647 NA
"CG13375-PC" 5.97683376559675 6.0622462079117 3.22099408024389 1.88210411347688 0.0598218809747964 NA
"CG3038-PB" 21.9036781235642 -0.334008645522231 3.82333643783393 -0.0873605163848621 0.930384952707185 0.9899694198504
"CG3038-PA" 27.0788822839244 -0.273296444725996 1.14158274316118 -0.239401345511939 0.810794386770904 0.970382742547377
