"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"CG33217-PA" 712.274573266818 -0.900905228665513 0.23094615718048 -3.90093188674048 9.58231112832773e-05 0.00281958464664489
"G9a-PA" 615.533637158987 -0.951139008706053 0.233400775212956 -4.07513217485345 4.59882190495523e-05 0.00159138008613104
"G9a-PB" 59.8348160875386 -9.34651290860899 1.91125538479952 -4.89024804478937 1.00708990378547e-06 6.96988424840263e-05
"Cyp4g1-PA" 7420.51602287869 1.49614491166431 0.21197988918419 7.05795685346505 1.68968502121247e-12 8.95321850614957e-10
"l(1)1Bi-PA" 770.847460198171 -1.36312505183463 0.325347670468594 -4.1897489226566 2.79263283033931e-05 0.00104070070925788
"TfIIA-S-2-PA" 49.9397019007638 5.33166920293851 1.07401544893567 4.96423883680828 6.89710261023245e-07 4.99774666064536e-05
"fs(1)N-PA" 1085.36590507173 -3.24633976943332 0.409671436001759 -7.9242521790545 2.29523405512942e-15 1.62158285994894e-12
"CG11417-PA" 736.407370259794 -1.11484422995916 0.284092393190004 -3.92423118915942 8.70071504301206e-05 0.0026111384826427
"CG3071-PA" 371.685255656201 -1.52648705341475 0.402079231162844 -3.7964832179967 0.00014676329305644 0.00395630905733705
"Nmd3-PA" 749.145052577198 -1.06347091594791 0.274856751616198 -3.86918243664942 0.000109200911141845 0.00307576519820785
"sgg-PD" 132.448390710496 1.96650645137009 0.462418278402694 4.25265726554513 2.11248763054486e-05 0.000836900473446696
"fs(1)Ya-PA" 236.177599419868 -2.96194090599505 0.776953104179463 -3.81225184642662 0.000137706457594478 0.00375998501605792
"Mnt-PI" 62.9246539907807 -9.41914097706417 1.76365425511097 -5.34069585904836 9.25904824722069e-08 9.74549856236933e-06
"CG32786-PB" 116.69109086664 2.24355473798902 0.577167259341082 3.8871829641729 0.000101414313485791 0.00292943969244477
"cib-PA" 142.459142948892 1.95463479865337 0.435452572215779 4.48874326016104 7.16445799885821e-06 0.000345115198376817
"cib-PB" 142.459142948892 1.95463479865337 0.435452572215779 4.48874326016104 7.16445799885821e-06 0.000345115198376817
"cib-PD" 142.459142948892 1.95463479865337 0.435452572215779 4.48874326016104 7.16445799885821e-06 0.000345115198376817
"cib-PE" 142.459142948892 1.95463479865337 0.435452572215779 4.48874326016104 7.16445799885821e-06 0.000345115198376817
"Nsun2-PA" 496.238166633211 -1.48967291850926 0.238606973804588 -6.24320779378918 4.28686781157314e-10 1.11827893250822e-07
"dhd-PA" 475.11416719465 -2.55313991421851 0.361499261193704 -7.06264213594187 1.63366068495545e-12 8.9355969593886e-10
"dhd-PB" 475.11416719465 -2.55313991421851 0.361499261193704 -7.06264213594187 1.63366068495545e-12 8.9355969593886e-10
"Sas10-PA" 350.704400141113 -1.41969016816722 0.393613409631201 -3.60681352166687 0.000309980263635744 0.0071027369597401
"CG15930-PB" 95.8506519096362 3.03080069863097 0.656298815011957 4.61801945898036 3.87419930993358e-06 0.000206575231129666
"fs(1)M3-PA" 941.233359987005 -1.97700793811055 0.486618661332326 -4.06274583201896 4.84988285246769e-05 0.00166130532619075
"swa-PA" 464.674869566455 -1.99374910121867 0.377830538420438 -5.27683418485375 1.31434713047552e-07 1.25909999685553e-05
"Lsp1beta-PA" 212.942645902901 2.70521248073252 0.621063305956536 4.35577573942493 1.32596480016331e-05 0.000570636019075359
"Lsp1beta-PB" 212.942645902901 2.70521248073252 0.621063305956536 4.35577573942493 1.32596480016331e-05 0.000570636019075359
"drongo-PI" 65.8375266376745 9.52329409942939 2.62646761219309 3.62589435910747 0.000287963067648567 0.00672548453863514
"Plc21C-PG" 39.5384765479846 -8.74857373152002 1.89295632404966 -4.62164584590304 3.8070754010123e-06 0.000204280919302419
"RpI135-PA" 726.669914710082 -1.36708480675079 0.360314444820539 -3.79414377192592 0.000148153814616795 0.00397483557063668
"CG2794-PA" 206.208111490525 -1.23938643225223 0.336787794445726 -3.6800218199474 0.000233213997261593 0.00570617104988105
"Nle-PA" 266.66096609022 -1.57192938147835 0.390722793698036 -4.02313201797279 5.7429283389915e-05 0.00188777217003001
"eRF1-PH" 86.4183746506786 23.3315402781217 3.8082184842515 6.12662859933245 8.97606624701302e-10 1.96438462049937e-07
"CG32425-PB" 23.9101136225032 -8.02293696233351 2.11664981717826 -3.79039409222118 0.000150408454725674 0.00402259583332576
"CG10565-PA" 602.117391011016 -1.15226043803163 0.260458374226476 -4.42397155189837 9.69027859941118e-06 0.000442879687147213
"CG10565-PB" 602.117391011016 -1.15226043803163 0.260458374226476 -4.42397155189837 9.69027859941118e-06 0.000442879687147213
"skd-PF" 93.0118181161399 7.57119876205162 1.42743265350272 5.304067231104 1.13250571708927e-07 1.1430218416051e-05
"Tsr1-PA" 748.210511171015 -1.45511454781141 0.307829580479835 -4.72701338689812 2.2784624919844e-06 0.000136998617071232
"RpLP0-PA" 1076.44774973211 -0.721849474117769 0.205651641774699 -3.51005937948499 0.000448006635132206 0.00946167247644831
"RpLP0-PB" 1076.44774973211 -0.721849474117769 0.205651641774699 -3.51005937948499 0.000448006635132206 0.00946167247644831
"Ten-m-PE" 360.626069239415 2.19053492821467 0.626315211601355 3.49749596950383 0.000469647809246046 0.00977159499136391
"POLDIP2-PB" 20.1170506671975 -7.77390156977603 2.20137057744357 -3.53139160186459 0.000413379254772497 0.00894038092337049
