Gene                 P-adj               
"baseMean"                               
"CG33217-PA"         0.00281958464664489 
"G9a-PA"             0.00159138008613104 
"G9a-PB"             6.96988424840263e-05
"Cyp4g1-PA"          8.95321850614957e-10
"l(1)1Bi-PA"         0.00104070070925788 
"TfIIA-S-2-PA"       4.99774666064536e-05
"fs(1)N-PA"          1.62158285994894e-12
"CG11417-PA"         0.0026111384826427  
"CG3071-PA"          0.00395630905733705 
"Nmd3-PA"            0.00307576519820785 
"sgg-PD"             0.000836900473446696
"fs(1)Ya-PA"         0.00375998501605792 
"Mnt-PI"             9.74549856236933e-06
"CG32786-PB"         0.00292943969244477 
"cib-PA"             0.000345115198376817
"cib-PB"             0.000345115198376817
"cib-PD"             0.000345115198376817
"cib-PE"             0.000345115198376817
"Nsun2-PA"           1.11827893250822e-07
"dhd-PA"             8.9355969593886e-10 
"dhd-PB"             8.9355969593886e-10 
"Sas10-PA"           0.0071027369597401  
"CG15930-PB"         0.000206575231129666
"fs(1)M3-PA"         0.00166130532619075 
"swa-PA"             1.25909999685553e-05
"Lsp1beta-PA"        0.000570636019075359
"Lsp1beta-PB"        0.000570636019075359
"drongo-PI"          0.00672548453863514 
"Plc21C-PG"          0.000204280919302419
"RpI135-PA"          0.00397483557063668 
"CG2794-PA"          0.00570617104988105 
"Nle-PA"             0.00188777217003001 
"eRF1-PH"            1.96438462049937e-07
"CG32425-PB"         0.00402259583332576 
"CG10565-PA"         0.000442879687147213
"CG10565-PB"         0.000442879687147213
"skd-PF"             1.1430218416051e-05 
"Tsr1-PA"            0.000136998617071232
"RpLP0-PA"           0.00946167247644831 
"RpLP0-PB"           0.00946167247644831 
"Ten-m-PE"           0.00977159499136391 
"POLDIP2-PB"         0.00894038092337049 
"CG14661-PA"         0.00760976016982738 
"CG14661-PB"         0.00760976016982738 
"Cont-PA"            0.00201110607061436 
"Bsg25D-PB"          0.000204280919302419
"Bsg25D-PC"          0.000137216504715041
"cup-PB"             3.04668438428443e-05
"cup-PC"             3.04668438428443e-05
"nop5-PA"            0.00369124259557789 
"nrv1-PA"            0.000144147569821912
"nrv1-PB"            0.000144147569821912
"CG5171-PD"          0.00548768022886147 
"CG5958-PA"          7.52817928646004e-06
"Uro-PA"             1.65867276140973e-05
"cdc14-PC"           2.20968007583304e-06
"cdc14-PE"           1.07311912937658e-05
"Cka-PF"             0.000797413123871752
"CG7466-PB"          0.00172083346519138 
"CG7466-PC"          0.00127521899412248 
"Rack1-PA"           9.74549856236933e-06
"Rack1-PD"           9.74549856236933e-06
"Rack1-PC"           9.74549856236933e-06
"CG7627-PA"          0.000131445828632013
"CG7627-PB"          0.000131445828632013
"Pvr-PO"             0.00760976016982738 
"Pvr-PK"             0.000581820219114668
