	ERR990557	ERR990558	ERR990559	ERR990560
Nep3-PA	6	11	61	54
Nep3-PB	6	11	61	54
Nep3-PC	6	11	61	54
CG9570-PA	0	0	0	0
Or19b-PA	0	0	0	1
CG15322-PB	0	0	0	0
CG15322-PC	0	0	0	0
Or19a-PB	0	0	0	1
karr-PA	0	0	2	0
fd19B-PA	0	0	0	0
CG17003-PA	0	0	0	0
CG12655-PA	2	0	23	2
CG33217-PA	895	1015	414	593
Vps11-PA	536	624	375	445
RpL10-PC	1170	1551	737	987
RpL10-PD	1170	1551	737	987
RpL10-PE	1170	1551	737	987
G9a-PA	885	782	380	464
G9a-PB	62	186	0	0
cin-PB	367	489	181	295
cin-PA	367	489	181	295
CG3777-PB	9	7	5	8
CG3777-PA	9	7	5	8
CG3777-PC	9	7	5	8
CG3777-PD	9	7	5	8
CG3777-PE	9	7	5	8
CG12470-PA	0	0	2	0
Or1a-PA	8	9	10	4
y-PA	14	8	13	14
ac-PA	4	1	0	3
sc-PA	7	7	2	0
l(1)sc-PA	4	0	2	7
ase-PA	4	5	2	2
CG13373-PA	0	0	0	0
CG13373-PB	126	150	55	68
CG32817-PA	0	4	3	13
CG32817-PC	0	4	3	13
CG32817-PB	0	4	3	13
CG3176-PA	11	3	3	0
CG3176-PB	0	0	1	0
CG3176-PC	0	0	1	0
CG3176-PD	11	3	3	0
CG3156-PA	158	156	59	92
CG17778-PA	1	1	5	0
CG17778-PB	1	1	5	0
arg-PA	15	18	20	42
CG17896-PB	814	1036	1211	874
CG17896-PA	4	0	0	0
CG18273-PA	894	1097	479	738
Cyp4g1-PA	4064	3921	11332	10381
Pgcl-PA	0	15	25	15
CG32816-PB	6	4	5	4
CG32816-PA	6	4	5	4
CG32816-PC	5	15	0	2
CG32816-PD	5	15	0	2
CG32816-PE	6	4	5	4
CG32816-PF	6	4	5	4
CG13375-PA	10	11	0	4
CG13375-PB	10	11	0	4
CG13375-PC	0	0	11	13
CG3038-PB	0	51	35	0
CG3038-PA	32	29	10	42
CG3038-PC	39	22	0	46
Appl-PA	0	0	14	0
Appl-PB	0	0	0	0
Appl-PC	0	22	11	25
Appl-PD	21	0	0	0
Appl-PE	0	0	0	0
Appl-PF	0	0	0	0
CG13369-PA	67	90	77	78
CG17829-PA	10	60	0	34
CG17829-PC	93	0	28	0
CG17829-PB	10	60	0	34
l(1)1Bi-PA	1028	1259	318	566
su(sable)-PA	230	226	187	226
su(sable)-PB	0	0	0	0
su(sable)-PC	230	226	187	226
CG13367-PA	105	99	120	124
Roc1a-PC	24	5	14	7
Roc1a-PA	71	103	53	98
Roc1a-PD	71	103	53	98
CG5254-PA	3	23	50	30
CG5254-PB	16	11	25	20
CG5273-PA	3	5	14	9
CG5273-PC	3	5	14	9
CG5273-PB	3	5	14	9
fz3-PA	4	4	6	9
fz3-PB	0	9	0	5
fz3-PC	4	4	6	9
CG16989-PA	119	134	124	158
CG16989-PB	119	134	124	158
CG14635-PA	0	0	0	0
CG13358-PD	0	0	0	4
CG13359-PA	0	0	0	3
Rbf-PA	300	333	119	255
CG13360-PA	27	24	56	47
RpL22-PA	2123	2296	1151	1666
CG13361-PA	1	6	1	8
CG13362-PA	0	3	3	0
Hmt4-20-PA	301	243	212	340
Hmt4-20-PB	301	243	212	340
RpL36-PA	691	957	475	890
RpL36-PB	691	957	475	890
RpL36-PD	691	957	475	890
RpL36-PC	691	957	475	890
RpL36-PE	691	957	475	890
CG13364-PA	179	319	125	189
CG13365-PA	32	48	19	27
CG13366-PA	0	0	0	0
CG13366-PB	82	77	67	90
CG13366-PC	82	77	67	90
CG13366-PD	0	0	0	0
CG13366-PE	0	0	0	0
CG13366-PF	82	77	67	90
CG13366-PG	19	30	0	0
CG14634-PB	2	0	0	0
CG11664-PA	3	1	4	1
CG11663-PA	0	0	0	0
CG11663-PB	0	0	0	0
MED22-PA	61	43	25	59
CG32815-PC	1	0	0	1
CG32815-PD	1	0	0	1
TRAM-PB	28	31	30	28
TRAM-PA	28	31	30	28
TRAM-PC	28	31	30	28
TRAM-PD	28	31	30	28
TRAM-PE	28	31	30	28
mus81-PA	50	57	15	37
CG18823-PA	0	0	0	0
CG14631-PA	0	0	0	0
CG3021-PA	102	82	52	58
CG14629-PA	122	126	350	259
CG14628-PA	0	1	0	1
CG3655-PA	17	28	0	10
CG3655-PB	17	28	0	10
CG3655-PC	141	47	193	156
CG3655-PD	17	28	0	10
CDC45L-PA	195	228	92	116
CG11638-PA	4	2	13	23
TfIIA-S-2-PA	1	4	84	113
CG3690-PA	6	17	92	41
CG3690-PB	6	17	92	41
CG3699-PA	9	36	326	131
CG3703-PA	17	9	14	20
CG3704-PA	257	387	117	239
CG3706-PA	4	1	2	2
CG3708-PB	3	1	2	2
CG3713-PA	1	0	0	0
CG3713-PB	1	0	0	0
CG32814-PB	35	17	53	70
CG11378-PA	11	13	8	21
CG11378-PB	11	13	8	21
CG11378-PC	11	13	8	21
CG11379-PA	0	0	1	0
CG11379-PB	0	0	1	0
CG14627-PA	0	0	0	0
CG14627-PB	0	0	0	0
CG14626-PA	2	0	1	2
CG11380-PA	22	24	20	32
CG11380-PB	22	24	20	32
CG14625-PB	8	4	7	1
CG11381-PA	0	0	0	0
CG14624-PA	0	1	0	1
CG11382-PB	9	9	8	14
CG11382-PC	9	9	8	14
CG32812-PA	0	1	3	0
CG32812-PB	0	1	3	0
fs(1)N-PA	1895	2148	128	301
Naa30A-PA	372	407	207	367
Naa30A-PD	0	4	6	9
Tsp2A-PA	1	5	10	4
Tsp2A-PB	1	5	10	4
CG11417-PA	990	1084	356	594
CG14770-PA	3	0	0	0
ssx-PB	67	12	61	36
ssx-PC	51	50	58	55
ssx-PD	106	202	32	120
ssx-PE	67	12	61	36
AMPKalpha-PA	66	71	69	69
AMPKalpha-PB	66	71	69	69
AMPKalpha-PC	66	71	69	69
CG32813-PD	9	5	11	13
CG32813-PB	9	5	11	13
CG32813-PL	9	5	11	13
CG32813-PM	9	5	11	13
CG32813-PN	9	5	11	13
CG32813-PH	7	16	17	27
CG32813-PI	9	5	11	13
CG32813-PJ	9	5	11	13
CG32813-PK	9	5	11	13
CG11448-PA	37	31	86	50
CG11448-PB	0	0	0	0
CG11448-PC	9	0	9	28
Lrpprc2-PA	165	195	86	133
CG14785-PA	9	7	1	3
CG3719-PA	36	36	46	46
png-PA	53	45	14	50
CG12773-PA	15	17	9	14
CG12773-PC	15	17	9	14
CG12773-PB	82	97	49	73
MTPAP-PA	47	53	21	51
MTPAP-PB	1	12	0	6
MTPAP-PC	47	53	21	51
CG11409-PB	46	31	60	47
CG11409-PC	46	31	60	47
DAAM-PB	0	0	0	0
DAAM-PA	0	0	0	0
DAAM-PG	0	0	0	0
DAAM-PE	0	0	0	0
DAAM-PF	0	0	0	0
DAAM-PD	325	349	245	353
CG32811-PB	1	0	0	0
Atf3-PA	0	5	0	0
Atf3-PB	47	8	219	90
Atf3-PC	0	5	0	0
CG11403-PA	181	199	161	288
CG11398-PA	9	15	14	15
CG11398-PD	9	15	14	15
CG11384-PA	0	2	0	1
eIF4E7-PA	5	2	1	2
CG14777-PB	4	4	3	5
CG14777-PD	4	4	3	5
CG14777-PE	4	4	3	5
CG14777-PC	4	4	3	5
CG14777-PF	4	4	3	5
CG14778-PA	11	8	7	9
CG14780-PA	1	0	0	0
rush-PA	20	18	33	55
rush-PB	20	18	33	55
inc-PB	28	23	14	22
inc-PD	28	23	14	22
inc-PC	28	23	14	22
dor-PA	147	124	115	156
hfw-PA	100	95	103	133
hfw-PB	100	95	103	133
CG14797-PB	0	0	0	0
CG14797-PC	0	0	0	0
b6-PA	5	3	7	2
Scgdelta-PA	0	0	1	3
Scgdelta-PC	0	0	1	3
Scgdelta-PD	0	0	1	3
Scgdelta-PE	0	0	1	3
CG3795-PA	0	0	0	0
CG3795-PB	0	0	0	0
a6-PA	21	16	8	17
a6-PB	21	16	8	17
a6-PC	21	16	8	17
CG3740-PA	7	5	3	9
Mur2B-PA	61	40	134	58
Mur2B-PC	61	40	134	58
Mur2B-PB	0	0	0	0
CG14795-PB	1	3	12	2
sta-PA	1334	1760	861	1311
sta-PB	1334	1760	861	1311
sta-PE	1334	1760	861	1311
sta-PF	1334	1760	861	1311
Rab27-PB	0	0	11	0
Rab27-PC	1	4	0	9
CG32808-PA	8	8	16	4
O-fut2-PA	45	66	39	54
CG14787-PA	4	1	0	2
CG32806-PA	0	1	0	3
MED18-PA	42	63	21	26
MED18-PC	0	0	0	0
CG14803-PA	214	227	150	209
CG14803-PB	0	0	0	0
Vps26-PA	224	253	191	262
CG14805-PA	269	311	183	260
CG14806-PA	34	46	30	43
CG14806-PB	34	46	30	43
mRpL16-PA	32	16	24	19
mRpL16-PB	32	16	24	19
